浙江频道 2026/06/29 更新,#genre#
CCTV-5+ 体育赛事,http://59.174.163.57:4022/rtp/239.254.96.234:9484
CCTV-5+ 体育赛事,http://59.174.163.57:4022/rtp/239.254.96.99:8568
CCTV-6 电影,http://59.174.163.57:4022/rtp/239.69.1.124:10382
CCTV-7 国防军事,http://59.174.163.57:4022/rtp/239.69.1.103:10256
CCTV-7 国防军事,http://59.174.163.57:4022/rtp/239.254.96.156:9130
CCTV-8 电视剧,http://59.174.163.57:4022/rtp/239.69.1.125:10388
CCTV-9 纪录,http://59.174.163.57:4022/rtp/239.69.1.104:10262
CCTV-9 纪录,http://59.174.163.57:4022/rtp/239.254.96.157:9016
CCTV-10 科教,http://59.174.163.57:4022/rtp/239.69.1.105:10268
CCTV-10 科教,http://59.174.163.57:4022/rtp/239.254.96.158:9022
CCTV-11 戏曲,http://59.174.163.57:4022/rtp/239.69.1.154:10560
CCTV-11 戏曲,http://59.174.163.57:4022/rtp/239.254.96.159:9028
CCTV-11 戏曲,http://59.174.163.57:4022/rtp/239.254.96.9:8028
CCTV-12 社会与法,http://59.174.163.57:4022/rtp/239.69.1.106:10274
CCTV-12 社会与法,http://59.174.163.57:4022/rtp/239.254.96.160:9034
CCTV-13 新闻,http://59.174.163.57:4022/rtp/239.254.96.161:9040
CCTV-13 新闻,http://59.174.163.57:4022/rtp/239.254.96.11:8040
CCTV-14 少儿,http://59.174.163.57:4022/rtp/239.69.1.107:10280
CCTV-14 少儿,http://59.174.163.57:4022/rtp/239.254.96.162:9046
CCTV-15 音乐,http://59.174.163.57:4022/rtp/239.69.1.155:10566
CCTV-15 音乐,http://59.174.163.57:4022/rtp/239.254.96.13:8052
CCTV-16 奥林匹克,http://59.174.163.57:4022/rtp/239.69.1.247:11124
CCTV-16 奥林匹克,http://59.174.163.57:4022/rtp/239.69.1.249:11136
CCTV-16 奥林匹克,http://59.174.163.57:4022/rtp/239.69.1.12:9712
CCTV-16 奥林匹克,http://59.174.163.57:4022/rtp/239.69.1.249:11136
CCTV-17 农业农村,http://59.174.163.57:4022/rtp/239.69.1.152:10548
CCTV-17 农业农村,http://59.174.163.57:4022/rtp/239.69.1.153:10554
CCTV4K,http://59.174.163.57:4022/rtp/239.69.1.111:10304
CCTV世界地理,http://59.174.163.57:4022/rtp/239.69.1.91:10186
CCTV兵器科技,http://59.174.163.57:4022/rtp/239.69.1.79:10114
CCTV央视台球,http://59.174.163.57:4022/rtp/239.69.1.98:10224
CCTV怀旧剧场,http://59.174.163.57:4022/rtp/239.69.1.86:10156
CCTV怀旧剧场,http://59.174.163.57:4022/rtp/239.69.1.89:10174
CCTV第一剧场,http://59.174.163.57:4022/rtp/239.69.1.74:10084
CCTV风云足球,http://59.174.163.57:4022/rtp/239.69.1.81:10126
CCTV风云音乐,http://59.174.163.57:4022/rtp/239.69.1.90:10180
CCTV高尔夫网球,http://59.174.163.57:4022/rtp/239.69.1.83:10138
CCTV电视指南,http://59.174.163.57:4022/rtp/239.69.1.87:10162
CETV1,http://59.174.163.57:4022/rtp/239.69.1.110:10298
CETV2,http://59.174.163.57:4022/rtp/239.69.1.183:10734
CETV4,http://59.174.163.57:4022/rtp/239.69.2.29:11328
CETV4,http://59.174.163.57:4022/rtp/239.69.1.175:10686
CGTN,http://59.174.163.57:4022/rtp/239.254.96.175:9124
CGTN俄语,http://59.174.163.57:4022/rtp/239.69.1.222:10974
CGTN法语,http://59.174.163.57:4022/rtp/239.69.1.235:11052
CGTN纪录,http://59.174.163.57:4022/rtp/239.69.1.233:11040
CGTN西语,http://59.174.163.57:4022/rtp/239.69.1.234:11046
CGTN阿语,http://59.174.163.57:4022/rtp/239.69.1.221:10968
CHC动作电影,http://59.174.163.57:4022/rtp/239.69.1.242:11094
CHC家庭影院,http://59.174.163.57:4022/rtp/239.69.1.243:11100
CHC影迷电影,http://59.174.163.57:4022/rtp/239.69.1.241:11088
中央新影-中学生,http://59.174.163.57:4022/rtp/239.69.2.17:11256
中央新影-老故事,http://59.174.163.57:4022/rtp/239.69.1.85:10150
东方卫视4K,http://59.174.163.57:4022/rtp/239.69.2.37:11376
北京卫视4K,http://59.174.163.57:4022/rtp/239.69.2.22:11286
四川卫视4K,http://59.174.163.57:4022/rtp/239.69.1.28:9808
四川卫视4K,http://59.174.163.57:4022/rtp/239.69.2.39:11388
山东卫视4K,http://59.174.163.57:4022/rtp/239.69.1.26:9796
山东卫视4K,http://59.174.163.57:4022/rtp/239.69.2.38:11382
广东卫视4K,http://59.174.163.57:4022/rtp/239.69.2.27:11316
江苏卫视4K,http://59.174.163.57:4022/rtp/239.69.1.24:9784
江苏卫视4K,http://59.174.163.57:4022/rtp/239.69.2.36:11370
浙江卫视4K,http://59.174.163.57:4022/rtp/239.69.1.25:9790
浙江卫视4K,http://59.174.163.57:4022/rtp/239.69.2.35:11364
深圳卫视4K,http://59.174.163.57:4022/rtp/239.69.2.28:11322
湖南卫视4K,http://59.174.163.57:4022/rtp/239.69.1.13:9718
湖南卫视4K,http://59.174.163.57:4022/rtp/239.69.1.27:9802
湖南卫视4K,http://59.174.163.57:4022/rtp/239.69.2.34:11358
东南卫视,http://59.174.163.57:4022/rtp/239.69.1.108:10286
东方卫视,http://59.174.163.57:4022/rtp/239.254.96.142:8926
云南卫视,http://59.174.163.57:4022/rtp/239.69.2.25:11304
兵团卫视,http://59.174.163.57:4022/rtp/239.69.2.32:11346
北京卫视,http://59.174.163.57:4022/rtp/239.254.96.141:8920
吉林卫视,http://59.174.163.57:4022/rtp/239.69.1.212:10914
四川卫视,http://59.174.163.57:4022/rtp/239.69.1.169:10650
天津卫视,http://59.174.163.57:4022/rtp/239.69.1.68:10048
宁夏卫视,http://59.174.163.57:4022/rtp/239.69.2.33:11352
安徽卫视,http://59.174.163.57:4022/rtp/239.69.1.70:10060
山东卫视,http://59.174.163.57:4022/rtp/239.69.1.69:10054
广东卫视,http://59.174.163.57:4022/rtp/239.254.96.140:8914
广西卫视,http://59.174.163.57:4022/rtp/239.69.1.191:10788
新疆卫视,http://59.174.163.57:4022/rtp/239.69.2.30:11334
江苏卫视,http://59.174.163.57:4022/rtp/239.254.96.144:8938
江西卫视,http://59.174.163.57:4022/rtp/239.69.1.126:10394
河北卫视,http://59.174.163.57:4022/rtp/239.254.96.113:9616
河北卫视,http://59.174.163.57:4022/rtp/239.69.1.157:10578
河南卫视,http://59.174.163.57:4022/rtp/239.69.1.168:10644
浙江卫视,http://59.174.163.57:4022/rtp/239.254.96.143:8932
海南卫视,http://59.174.163.57:4022/rtp/239.69.1.151:10542
深圳卫视,http://59.174.163.57:4022/rtp/239.254.96.137:8896
湖南卫视,http://59.174.163.57:4022/rtp/239.254.96.139:8908
甘肃卫视,http://59.174.163.57:4022/rtp/239.69.2.23:11292
西藏卫视,http://59.174.163.57:4022/rtp/239.69.2.31:11340
贵州卫视,http://59.174.163.57:4022/rtp/239.69.1.150:10536
辽宁卫视,http://59.174.163.57:4022/rtp/239.69.1.71:10066
重庆卫视,http://59.174.163.57:4022/rtp/239.69.1.149:10530
青海卫视,http://59.174.163.57:4022/rtp/239.69.2.24:11298
黑龙江卫视,http://59.174.163.57:4022/rtp/239.254.96.138:8902
九屏导视,http://59.174.163.57:4022/rtp/239.69.1.156:10572
湖北卫视,http://59.174.163.57:4022/rtp/239.254.96.115:8664
湖北公共新闻,http://59.174.163.57:4022/rtp/239.69.1.40:9880
湖北垄上,http://59.174.163.57:4022/rtp/239.69.1.43:9898
湖北影视,http://59.174.163.57:4022/rtp/239.69.1.204:10866
湖北教育,http://59.174.163.57:4022/rtp/239.69.1.206:10878
湖北生活,http://59.174.163.57:4022/rtp/239.69.1.205:10872
湖北经视,http://59.174.163.57:4022/rtp/239.69.1.41:9886
湖北综合,http://59.174.163.57:4022/rtp/239.69.1.42:9892
武汉新闻综合,http://59.174.163.57:4022/rtp/239.69.1.145:10506
武汉电视剧,http://59.174.163.57:4022/rtp/239.69.1.146:10512
武汉科技生活,http://59.174.163.57:4022/rtp/239.69.1.251:11148
武汉教育,http://59.174.163.57:4022/rtp/239.69.1.60:9994
武汉文体,http://59.174.163.57:4022/rtp/239.69.1.147:10518
房县综合,http://59.174.163.57:4022/rtp/239.69.1.192:10794
蔡甸综合,http://59.174.163.57:4022/rtp/239.69.1.245:11112
阳新综合,http://59.174.163.57:4022/rtp/239.69.1.34:9844
东方财经,http://59.174.163.57:4022/rtp/239.69.2.9:11208
中华特产,http://59.174.163.57:4022/rtp/239.69.2.18:11262
中国交通,http://59.174.163.57:4022/rtp/239.69.2.3:11172
乐游,http://59.174.163.57:4022/rtp/239.69.2.12:11226
凤凰中文,http://59.174.163.57:4022/rtp/239.69.2.20:11274
凤凰资讯,http://59.174.163.57:4022/rtp/239.69.2.19:11268
动漫秀场,http://59.174.163.57:4022/rtp/239.69.2.6:11190
四海钓鱼,http://59.174.163.57:4022/rtp/239.69.1.244:11106
快乐垂钓,http://59.174.163.57:4022/rtp/239.69.1.142:10488
文物宝库,http://59.174.163.57:4022/rtp/239.69.1.46:9916
梨园频道,http://59.174.163.57:4022/rtp/239.69.1.33:9838
欢笑剧场,http://59.174.163.57:4022/rtp/239.69.2.5:11184
武术世界,http://59.174.163.57:4022/rtp/239.69.1.47:9922
法治天地,http://59.174.163.57:4022/rtp/239.69.2.10:11214
游戏风云,http://59.174.163.57:4022/rtp/239.69.2.8:11202
生活时尚,http://59.174.163.57:4022/rtp/239.69.2.11:11220
茶频道,http://59.174.163.57:4022/rtp/239.69.1.144:10500
都市剧场,http://59.174.163.57:4022/rtp/239.69.2.4:11178
金色学堂,http://59.174.163.57:4022/rtp/239.69.2.13:11232
金鹰卡通,http://59.174.163.57:4022/rtp/239.69.1.248:11130
金鹰纪实,http://59.174.163.57:4022/rtp/239.69.1.109:10292
书画,http://59.174.163.57:4022/rtp/239.69.1.189:10776
环球奇观,http://59.174.163.57:4022/rtp/239.254.96.192:9232
国学频道,http://59.174.163.57:4022/rtp/239.254.96.194:9244
新动漫,http://59.174.163.57:4022/rtp/239.69.1.187:10764
金鹰卡通,http://59.174.163.57:4022/rtp/239.254.96.189:9214
BRTV卡酷少儿,http://59.174.163.57:4022/rtp/239.254.96.188:9208
重庆汽摩,http://59.174.163.57:4022/rtp/239.69.1.84:10144
财富天下,http://59.174.163.57:4022/rtp/239.254.96.210:9340
九屏导视,http://59.174.163.57:4022/rtp/239.69.1.156:10572
多彩文体,,http://59.174.163.57:4022/rtp/239.69.2.5:11184

湖北电信-组播2,#genre#

湖北电信-组播3,#genre#

广东电信-组播1,#genre#
BRTV卡酷少儿,http://113.119.24.239:58888/udp/239.77.0.79:5146$576p
BRTV卡酷少儿,http://113.119.24.239:58888/udp/239.77.1.50:5146
CCTV-1 综合,http://113.119.24.239:58888/udp/239.77.0.129:5146$1080p
CCTV-1 综合,http://113.119.24.239:58888/udp/239.77.0.14:5146$576p
CCTV-1 综合,http://113.119.24.239:58888/udp/239.77.0.30:5146$576p
CCTV-1 综合,http://113.119.24.239:58888/udp/239.77.0.86:5146$1080p
CCTV-1 综合,http://113.119.24.239:58888/udp/239.77.1.144:5146
CCTV-1 综合,http://113.119.24.239:58888/udp/239.77.1.17:5146
CCTV-2 财经,http://113.119.24.239:58888/udp/239.253.43.17:5146$1080p
CCTV-2 财经,http://113.119.24.239:58888/udp/239.77.0.137:5146$1080p
CCTV-2 财经,http://113.119.24.239:58888/udp/239.77.0.31:5146$576p
CCTV-2 财经,http://113.119.24.239:58888/udp/239.77.1.158:5146
CCTV-3 综艺,http://113.119.24.239:58888/udp/239.77.0.107:5146$1080p
CCTV-3 综艺,http://113.119.24.239:58888/udp/239.77.0.111:5146$1080p
CCTV-3 综艺,http://113.119.24.239:58888/udp/239.77.0.169:5146$1080p
CCTV-3 综艺,http://113.119.24.239:58888/udp/239.77.0.175:5146$1080p
CCTV-3 综艺,http://113.119.24.239:58888/udp/239.77.0.32:5146$576p
CCTV-4 中文国际,http://113.119.24.239:58888/udp/239.253.43.27:5146$1080p
CCTV-4 中文国际,http://113.119.24.239:58888/udp/239.77.0.33:5146$576p
CCTV-4 中文国际,http://113.119.24.239:58888/udp/239.77.0.78:5146$1080p
CCTV-4 中文国际,http://113.119.24.239:58888/udp/239.77.1.163:5146
CCTV-4 中文国际,http://113.119.24.239:58888/udp/239.77.1.166:5146
CCTV-5 体育 ,http://113.119.24.239:58888/udp/239.77.0.176:5146$1080p
CCTV-5 体育 ,http://113.119.24.239:58888/udp/239.77.0.177:5146$1080p
CCTV-5 体育,http://113.119.24.239:58888/udp/239.77.0.108:5146$1080p
CCTV-5 体育,http://113.119.24.239:58888/udp/239.77.0.170:5146$1080p
CCTV-5 体育,http://113.119.24.239:58888/udp/239.77.0.34:5146$576p
CCTV-5 体育,http://113.119.24.239:58888/udp/239.77.1.8:5146
CCTV-5+ 体育赛事,http://113.119.24.239:58888/udp/239.77.0.87:5146$1080p
CCTV-5+ 体育赛事,http://113.119.24.239:58888/udp/239.77.1.147:5146
CCTV-5+ 体育赛事,http://113.119.24.239:58888/udp/239.77.1.31:5146
CCTV-6 电影,http://113.119.24.239:58888/udp/239.77.0.171:5146$1080p
CCTV-6 电影,http://113.119.24.239:58888/udp/239.77.0.178:5146$1080p
CCTV-6 电影,http://113.119.24.239:58888/udp/239.77.0.35:5146$576p
CCTV-7 国防军事,http://113.119.24.239:58888/udp/239.77.0.138:5146$1080p
CCTV-7 国防军事,http://113.119.24.239:58888/udp/239.77.0.36:5146$576p
CCTV-7 国防军事,http://113.119.24.239:58888/udp/239.77.1.159:5146
CCTV-7 国防军事,http://113.119.24.239:58888/udp/239.77.1.167:5146
CCTV-8 电视剧,http://113.119.24.239:58888/udp/239.253.43.28:5146$1080p
CCTV-8 电视剧,http://113.119.24.239:58888/udp/239.77.0.172:5146$1080p
CCTV-8 电视剧,http://113.119.24.239:58888/udp/239.77.0.181:5146$1080p
CCTV-8 电视剧,http://113.119.24.239:58888/udp/239.77.0.37:5146$576p
CCTV-8 电视剧,http://113.119.24.239:58888/udp/239.77.1.10:5146
CCTV-9 纪录,http://113.119.24.239:58888/udp/239.77.0.135:5146
CCTV-9 纪录,http://113.119.24.239:58888/udp/239.77.0.135:5146$1080p
CCTV-9 纪录,http://113.119.24.239:58888/udp/239.77.0.38:5146$576p
CCTV-9 纪录,http://113.119.24.239:58888/udp/239.77.1.160:5146
CCTV-9 纪录,http://113.119.24.239:58888/udp/239.77.1.168:5146
CCTV-10 科教,http://113.119.24.239:58888/udp/239.77.0.101:5146$1080p
CCTV-10 科教,http://113.119.24.239:58888/udp/239.77.0.39:5146$576p
CCTV-10 科教,http://113.119.24.239:58888/udp/239.77.1.113:5146
CCTV-10 科教,http://113.119.24.239:58888/udp/239.77.1.169:5146
CCTV-11 戏曲,http://113.119.24.239:58888/udp/239.77.0.40:5146$576p
CCTV-11 戏曲,http://113.119.24.239:58888/udp/239.77.1.108:5146
CCTV-11 戏曲,http://113.119.24.239:58888/udp/239.77.1.238:5146
CCTV-12 社会与法,http://113.119.24.239:58888/udp/239.77.0.102:5146$1080p
CCTV-12 社会与法,http://113.119.24.239:58888/udp/239.77.0.136:5146$1080p
CCTV-12 社会与法,http://113.119.24.239:58888/udp/239.77.0.41:5146$576p
CCTV-12 社会与法,http://113.119.24.239:58888/udp/239.77.1.109:5146
CCTV-12 社会与法,http://113.119.24.239:58888/udp/239.77.1.170:5146
CCTV-13 新闻,http://113.119.24.239:58888/udp/239.253.43.196:5146
CCTV-13 新闻,http://113.119.24.239:58888/udp/239.77.0.188:5146$1080p
CCTV-13 新闻,http://113.119.24.239:58888/udp/239.77.0.42:5146$576p
CCTV-14 少儿,http://113.119.24.239:58888/udp/239.77.0.133:5146$1080p
CCTV-14 少儿,http://113.119.24.239:58888/udp/239.77.0.43:5146$576p
CCTV-14 少儿,http://113.119.24.239:58888/udp/239.77.1.161:5146
CCTV-14 少儿,http://113.119.24.239:58888/udp/239.77.1.171:5146
CCTV-15 音乐,http://113.119.24.239:58888/udp/239.77.0.44:5146$576p
CCTV-15 音乐,http://113.119.24.239:58888/udp/239.77.1.120:5146
CCTV-15 音乐,http://113.119.24.239:58888/udp/239.77.1.239:5146
CCTV-16 奥林匹克,http://113.119.24.239:58888/udp/239.77.0.165:5146$1080p
CCTV-16 奥林匹克,http://113.119.24.239:58888/udp/239.77.0.218:5146$2160p
CCTV-16 奥林匹克,http://113.119.24.239:58888/udp/239.77.1.76:5146
CCTV-16 奥林匹克,http://113.119.24.239:58888/udp/239.77.1.98:5146
CCTV-17 农业农村,http://113.119.24.239:58888/udp/239.77.0.115:5146$576p
CCTV-17 农业农村,http://113.119.24.239:58888/udp/239.77.0.198:5146$1080p
CCTV-17 农业农村,http://113.119.24.239:58888/udp/239.77.1.121:5146
CCTV4K,http://113.119.24.239:58888/udp/239.77.0.174:5146
CCTV4K,http://113.119.24.239:58888/udp/239.77.0.194:5146$2160p
CCTV4K,http://113.119.24.239:58888/udp/239.77.1.180:5146
CCTV4美洲,http://113.119.24.239:58888/udp/239.253.43.121:5146$1080p
CCTV世界地理,http://113.119.24.239:58888/udp/239.253.43.24:5146$1080p
CCTV兵器科技,http://113.119.24.239:58888/udp/239.253.43.18:5146$1080p
CCTV兵器科技,http://113.119.24.239:58888/udp/239.253.43.19:5146$1080p
CCTV兵器科技,http://113.119.24.239:58888/udp/239.253.43.9:5146$480p
CCTV卫生健康,http://113.119.24.239:58888/udp/239.77.0.212:5146$1080p
CCTV央视台球,http://113.119.24.239:58888/udp/239.253.43.11:5146$480p
CCTV央视台球,http://113.119.24.239:58888/udp/239.253.43.21:5146$1080p
CCTV央视文化精品,http://113.119.24.239:58888/udp/239.253.43.13:5146
CCTV女性时尚,http://113.119.24.239:58888/udp/239.253.43.23:5146$1080p
CCTV女性时尚,http://113.119.24.239:58888/udp/239.253.43.8:5146$1080p
CCTV怀旧剧场,http://113.119.24.239:58888/udp/239.253.43.25:5146$1080p
CCTV怀旧剧场,http://113.119.24.239:58888/udp/239.253.43.5:5146$1080p
CCTV电视指南,http://113.119.24.239:58888/udp/239.253.43.10:5146
CCTV第一剧场,http://113.119.24.239:58888/udp/239.253.43.15:5146$1080p
CCTV风云剧场,http://113.119.24.239:58888/udp/239.253.43.26:5146$1080p
CCTV风云足球,http://113.119.24.239:58888/udp/239.253.43.14:5146$1080p
CCTV风云足球,http://113.119.24.239:58888/udp/239.253.43.20:5146$1080p
CCTV风云音乐,http://113.119.24.239:58888/udp/239.253.43.6:5146
CCTV高尔夫网球,http://113.119.24.239:58888/udp/239.253.43.22:5146$1080p
CCTV风云剧场,http://113.119.24.239:58888/udp/239.253.43.16:5146$1080p
CCTV风云音乐,http://113.119.24.239:58888/udp/239.253.43.29:5146$1080p
CETV1,http://113.119.24.239:58888/udp/239.77.0.200:5146$1080p
CETV1,http://113.119.24.239:58888/udp/239.77.1.222:5146
CETV2,http://113.119.24.239:58888/udp/239.77.0.28:5146$576p
CETV2,http://113.119.24.239:58888/udp/239.77.1.69:5146
CETV4,http://113.119.24.239:58888/udp/239.253.43.40:5146$1080p
CETV4,http://113.119.24.239:58888/udp/239.253.43.114:5146$1080p
CETV早期教育,http://113.119.24.239:58888/udp/239.77.0.180:5146$1080p
CETV早期教育,http://113.119.24.239:58888/udp/239.77.1.114:5146
CETV早期教育,http://113.119.24.239:58888/udp/239.77.1.122:5146
CGTN,http://113.119.24.239:58888/udp/239.77.0.199:5146$1080p
CGTN,http://113.119.24.239:58888/udp/239.77.0.45:5146$576p
CGTN,http://113.119.24.239:58888/udp/239.77.1.27:5146
CGTN俄语,http://113.119.24.239:58888/udp/239.253.43.201:5146
CGTN法语,http://113.119.24.239:58888/udp/239.77.0.228:5146$1080p
CGTN纪录,http://113.119.24.239:58888/udp/239.253.43.122:5146
CGTN西语,http://113.119.24.239:58888/udp/239.77.0.221:5146$1080p
